path	review	decision	current_issue_or_closure_evidence	input_sha256
evidence/E-001.md	read	delete-closed	Factory Magisk/ADB baseline superseded by build19 native root identity E-209; preserve raw baseline only.	318598209bba01458de5f2a63ad3a15716672a6f82f0c5f515fb689716172276
evidence/E-002.md	read	consolidate-baseline	Factory config hash/input provenance remains useful; note hardware verification once, delete narrative.	b7cd5c517643fc7638b63df7633e00563b725afd2fcdabc82a9a5dd440f417d1
evidence/E-003.md	read	retain-open	Selected stock_defconfig has MTK_HAFG_20=y; Makefile selects battery_common_fg_20.c:4378, which still stops charging on read. Not in WI; collector blocklist only avoids side effect.	ed99089efc0d09ac828f306cd00a31028805233b921b19a402229baac1596014
evidence/E-004.md	read	consolidate-baseline	Factory sensor ghost proof; current source exposes only populated accelerometer; preserve hardware fact and raw path in hardware-verification.	d94211409bd5c1f5704be63fb781a647c2b0a462604d6d81ab0ff17350a368f2
evidence/E-005.md	read	consolidate-baseline	Owner no-fingerprint finding remains authoritative hardware fact; consolidate into hardware notes.	7822e349de387d7000cf547673ac77fc489cdaf54d80d3a61691f2af34f0623e
evidence/E-006.md	read	consolidate-baseline	Owner Hall/stylus event baseline; preserve physical fact and raw artifact in hardware notes.	06c464ebef0baf2c3b87d7858eaf55fe4f8ac1df6e7b5f3f3280021fc411e662
evidence/E-007.md	read	consolidate-baseline	Owner no-RGB-LED finding remains authoritative hardware fact; consolidate into hardware notes.	5933065f59f5957a892299e3640e4e8f41bcde39bf467a08200de1adede731a1
evidence/E-008.md	read	delete-stale	Single-microphone and provisional battery statements contradicted by E-009/E-176 and current owner request; hardware notes already consolidate.	a6bcc990fd638d033f04bd777d80aa4aa717f0892e32b31278697d2e5e20a9c7
evidence/E-009.md	read	consolidate-open	Two mic apertures established; electrical MIC/call roles still WI-022. Preserve physical fact only.	472c2434f58d4359c9332ab83d830c3ceeafdbf6b9fc1b6e819806f7ee435229
evidence/E-010.md	read	delete-closed	Explicitly superseded by E-023 USB install repair and latest build19 functioning USB adb.	7d3fe5fa27ae67c5d8d5c42b34d63d8eebc520498f5d673fc5a1c6b31f93efae
evidence/E-011.md	read	delete-stale	Historical assertion electrical hypothesis wrong/root cause fixed conflicts with current WI-080 uncertain GPIO104 root cause; retain raw fault evidence via E-168.	71c03021e0aad7059a62c106e4713322d6921909b5d6e176e1cf179a04324164
evidence/E-012.md	read	delete-closed	Explicitly superseded by E-023 then later runtime AVC sets; boot-only 215 closure is historical.	8eb1e44ce0ee2df9dd9fbd1f93dd4b0da3453e20ca5768335497fb3f68783ac2
evidence/E-013.md	read	delete-stale	Both NikGapps/partner_gms products and scripts removed; current product MindTheGapps importer.	62bdae6a1d0424729bafe637293889f511c8926c9751ff78f0dbab97db738c49
evidence/E-014.md	read	delete-closed	Explicitly superseded by measured real DisplayCutout E-022; current config.xml retains measured path.	c4505f255469ee8a6c6806965a4d3cd14d876f9caeac32b1c1682c66d9c7e40c
evidence/E-015.md	read	delete-stale	Current lineage product no longer inherits Go defaults or sets low_ram; source kernel current memory controls differ.	7841e9093db2b443d877e3c6057d90683a4355db180adecf0fd81e3e847512ba
evidence/E-016.md	read	delete-stale	Early voice-only static closure excludes diagnostic WFO now included; current IMS tier policy described in notes/vowifi-feasibility.	c00015084b08cd482ca2069b0fbebe8e953a0e2828f44ed84b57685577fe7191
evidence/E-017.md	read	delete-stale	Keylayouts fixed; cached-key root-cause and never-wake/not-fixable conclusions explicitly overturned; WI-080 remains uncertain.	927f7fa96559422396e855a0568b80b6615843af75d9ef0b9cc9f2c6a3e1087d
evidence/E-018.md	read	delete-closed	Device rc moved to vendor/etc/init/hw and current build19 boot reads it; preserve import decision in source only.	069c182fc61792e2e79994cb4df56bfb6013f3065e5a8a78ce283e82e66ef5f1
evidence/E-019.md	read	delete-stale	Heap sizing fixed but Go-defaults prescription removed in current product; current heap inherit remains 4096.	dae7e038e0416ba9a14517b784f069bf31523074a280f94a54d7257a33582b55
evidence/E-020.md	read	delete-closed	Historical upstream reverts complete; current scope/upstream tooling documents permitted font delta and owned IMS module.	5ceff266cbc0361622afe556b953b511c4020b001ff6047813a7df030a37b75c
evidence/E-021.md	read	consolidate-baseline	Useful IMS bootclasspath closure methodology; summarize in source migration/IMS notes if absent, no active issue.	43dc794b2c5e75c6d475abfe7d674a9cad63cd0beda1dcaf467108c21f1aa39d
evidence/E-022.md	read	consolidate-baseline	Measured 330..388/12..70 cutout geometry still in config.xml; preserve calibration coordinates in hardware notes then delete duplicate.	bb31d31951593a14c67211735a09daba3a173a54ecdd6b6459bb3d2c7acdb882
evidence/E-023.md	read	delete-stale	Explicitly superseded boot-only AVC set; FDE/low_ram claims no longer current; E-209 current runtime.	5c049ed5dbfa2585983f650a68fb502d7d6f043a0c1e5ca491f547c35cd97200
evidence/E-024.md	read	delete-stale	Donor source provenance useful in hardware notes, but exact-match/proves-stuck-key-fix/no-edge-can-be-lost claims overstate current WI-080 evidence. Current source now repairs remove path and owns suspend fix.	1b6621b4abd3b76fa567da70b4703ce771529e2065f056a7654ec28bf72365da
evidence/E-025.md	read	delete-closed	Mediacodec seccomp/DAC/ioctl repairs landed; later actual camera/video/screenrecord and E-190/209 provider tests supersede old failure narrative.	7eb7e7677c9e6a5f9821a1ac744c8b12b091e8d9e86462cc3895059593cc31e9
evidence/E-026.md	read	consolidate-baseline	Measured DVFS OPPs/table corrections and avoiding permanent PPM pin remain hardware constraints; old inert PowerHAL defect closed and source screen-state path supersedes.	1467bba92bcf57e0ff02b70e9ec9ae9d03fba6380430eca9c49cdfea79b1b454
evidence/E-027.md	read	delete-stale	Old health sweep, phantom-touch impossibility claim and omni capacity planning obsolete; keep loadavg interpretation in HANDOFF/hardware notes.	e98411ea1a42db823ae3fa4f570925c1d31ac7477ccb5cc4c75946cfcd271fc5
